subsector,representative_company,ticker,market,moat_source,moat_strength_0to1,policy_friendliness,retail_accessibility_0to1,key_financials_FY,key_metric,achilles_heel,source
血制品,CSL Limited,CSL.AX,澳交所/美ADR,采浆牌照+全球网络规模,0.72,中性(各国血液监管),0.72,FY2025营收US$15.56B/Behring US$11.16B/净利US$3.0B,采浆站约330家,采浆供给瓶颈+疫苗分部拖累,S3
血制品,Grifols,GRF/GRFS,西班牙/美ADR,采浆网络约400站,0.7,中性,0.6,FY2024营收EUR7.21B/净利EUR157M,杠杆净债务EBITDA约4.6x,高杠杆压股东回报(好生意≠好股票反例),S4
血制品,天坛生物,600161.SS,A股,单采血浆牌照稀缺(国资),0.66,友好(国产替代),0.42,2024营收60.32亿/归母净利15.49亿,采浆2781吨(+15.15%)占全国约20%,浆站审批节奏+采浆增速,S5
血制品,派林生物,000403.SZ,A股,浆站牌照,0.6,友好,0.4,2024营收26.5亿/归母净利7.45亿,采浆>1400吨/浆站38家,采浆规模小于龙头,T6
中药,片仔癀,600436.SS,A股,国家保密配方+中药一级保护+品牌,0.9,友好(不入化学药集采),0.46,2024营收107.88亿/归母净利29.77亿/净利率27.6%,锭剂760元/粒自主提价,天然牛黄等稀缺原料成本(综合毛利率2024 42.74%,2023约46.8%年度降约4pct;医药制造分部降约11pct),S6
中药,云南白药,000538.SZ,A股,消费品牌(牙膏等),0.7,友好,0.5,2024营收400.33亿/归母净利47.49亿,牙膏61亿/工业毛利率65.93%,六成营收来自低毛利流通+牙膏增速停滞,S7
生命科学工具(卖铲人),Thermo Fisher,TMO,美股,不赌单一管线+高耗材黏性,0.86,中性,0.85,FY2024营收$42.88B/营业利润率17.1%/净利$6.34B,经常性收入约八成(二手测算),行业资本开支周期(biopharma去库存),S8;T13
生命科学工具(卖铲人),Danaher,DHR,美股,Cytiva/Pall生物工艺耗材,0.85,中性,0.85,FY2024营收$23.88B/核心-1.5%/净利$3.9B,Biotechnology分部利润率24.9%,后COVID去库存压增长,S9;T13
生命科学工具(卖铲人),Sartorius,SRT3,德股,生物工艺耗材,0.78,中性,0.7,FY2024营收EUR3.38B/EBITDA率约28%,生物工艺耗材龙头,与Cytiva同受去库存重创,research
CRO,中国CRO龙头(临床/临床前/实验室服务分档),港股+A股,港股/A股,壁垒因档而异,0.55,中(地缘+集采),0.48,见第8章,临床vs临床前vs实验室服务周期性不同,biotech融资周期+对美CXO立法风险,ch08
印度仿制药/原料药,Sun Pharmaceutical,SUNPHARMA.NS,印度NSE,规模化低成本制造+特种药转型,0.45,本土友好/美国监管严,0.6,FY2025销售₹52041cr(约$6.2B)/调整净利₹11984cr,美国制剂$1.92B(约占总营收三成,推算),USFDA检查(Halol厂Import Alert),T10;S13
印度仿制药/原料药,Dr Reddy's,DRREDDY.NS/RDY,印度NSE/美ADR,仿制药+复杂注射剂,0.42,同上,0.6,FY2025营收₹32554cr(约$3.9B)/净利₹5655cr,仿制药占约九成/北美约四成多(推算),美国仿制药价格通缩+FDA警告信,T11
印度仿制药/原料药,Divi's Laboratories,DIVISLAB.NS,印度NSE,全球最大API/CDMO之一,0.55,同上,0.55,FY2025营收₹9360cr(约$1.11B)/净利₹2191cr/OPM约32%,出口占比高,客户集中+API价格周期,T12
