generation,molecule_inn,brand,company,ticker,mechanism_targets,agonist_class,route,formulation_type,key_trial,sample_n,trial_phase_registrational,endpoint_type,weight_loss_pct,weight_loss_caliber,readout_time,status,source_id,verify_status
gen1,semaglutide,Wegovy,Novo Nordisk,NVO,GLP-1,单激动剂,subcutaneous_weekly,peptide_injectable,SURMOUNT-5(comparator arm),751,yes_phase3_head2head,surrogate_weight,13.7,72wk_efficacy_estimand,2025,approved,S5,verified_report_recheck_NEJM
gen2,tirzepatide,Mounjaro/Zepbound,Eli Lilly,LLY,GIP+GLP-1,双激动剂,subcutaneous_weekly,peptide_injectable,SURMOUNT-5,751,yes_phase3_head2head,surrogate_weight,20.2,72wk_efficacy_estimand,2025,approved,S5,verified_report_recheck_NEJM
gen3_candidate,retatrutide,(in development),Eli Lilly,LLY,GIP+GLP-1+glucagon(GGG),三激动剂,subcutaneous_weekly,peptide_injectable,Phase2 obesity (NEJM),338,no_phase2,surrogate_weight,24.2,12mg_48wk,2023,phase3_ongoing,S6,verified_NEJM
competing_route,CagriSema,(cagrilintide+semaglutide),Novo Nordisk,NVO,amylin+GLP-1,amylin组合,subcutaneous_weekly,peptide_injectable,REDEFINE 1,unknown,yes_phase3,surrogate_weight,22.7,no_T2D,2025,filed,S10,unverified_recheck_primary
competing_route,CagriSema,(cagrilintide+semaglutide),Novo Nordisk,NVO,amylin+GLP-1,amylin组合,subcutaneous_weekly,peptide_injectable,REDEFINE 4 (vs tirzepatide),809,yes_phase3_head2head,surrogate_weight,23.0,vs_tirze_25.5_failed_noninferiority,2026-02,readout,S9,verified_report_recheck_company
oral_route1,orforglipron,(in registration),Eli Lilly,LLY,GLP-1,单激动剂(口服),oral_once_daily,non_peptide_small_molecule,ATTAIN-1,3127,yes_phase3,surrogate_weight,12.4,36mg_72wk_no_diabetes,2025,filed_global,S7;S8,verified_IR_NEJM
oral_route1,orforglipron,(in registration),Eli Lilly,LLY,GLP-1,单激动剂(口服),oral_once_daily,non_peptide_small_molecule,ACHIEVE-1,unknown,yes_phase3,surrogate_a1c,NA,A1C_-1.3_to_-1.6pct_diabetes,2025,filed_global,S7,verified_report_recheck_arm
oral_route2,oral semaglutide,oral Wegovy,Novo Nordisk,NVO,GLP-1,单激动剂(口服),oral_once_daily,peptide_plus_SNAC,(oral Wegovy obesity program),unknown,yes_phase3,surrogate_weight,NA,fasting_required_low_bioavailability,2025,filed,S4;research,needs_recheck
next_gen_watch,amycretin,(in development),Novo Nordisk,NVO,amylin+GLP-1(single molecule),amylin/GLP-1单分子,oral_and_subcutaneous,dual_format,(early phase),unknown,no_early,surrogate_weight,NA,watch_item,2025,phase_early,research,needs_recheck
competitor_watch,MariTide(maridebart cafraglutide),(in development),Amgen,AMGN,GIP_antagonist+GLP-1_agonist,GIP拮抗+GLP-1激动,subcutaneous_monthly,peptide_injectable,(Phase2/3),unknown,mixed,surrogate_weight,NA,watch_item,2025,phase2_3,research,needs_recheck
competitor_watch,petrelintide,(in development),Zealand/Roche,RHHBY,amylin,amylin类似物,subcutaneous_weekly,peptide_injectable,(Phase2),unknown,no_phase2,surrogate_weight,NA,watch_item,2025,phase2,research,needs_recheck
competitor_watch,mazdutide(玛仕度肽),(approved CN / in development),Innovent/Lilly,1801.HK,GLP-1+glucagon,双激动剂,subcutaneous_weekly,peptide_injectable,(CN approval/global),unknown,yes_phase3,surrogate_weight,NA,watch_item_china,2025,approved_CN,research,needs_recheck
