环节,代表公司/口径,指标,数值,口径说明,时点,来源
原料药API,印度（行业口径）,全球仿制药供应量份额,约20%,按用量计,2024,InvestIndia/IBEF/DrugPatentWatch（产业推广口径）
原料药API,印度（行业口径）,全球原料药价值份额,约8%,按价值计；全球第3大API生产国,2024,InvestIndia/IBEF/DrugPatentWatch（产业推广口径）
原料药API,印度（行业口径）,WHO预认证API清单份额,约57%,生产500+种API,2024,InvestIndia/IBEF
原料药API,中国（环保收紧）,关停原料药厂数,约145家,河北等化工集群口径；蓝天保卫战2017起,2017-2018,C&EN 2018-02 / APIFDF
原料药API,中国（出口）,原料药出口量同比,+5.4%,量增,2023,中国医保商会口径（ECHEMI/APIFDF转述）
原料药API,中国（出口）,原料药出口额,约409亿美元（同比-20.6%）,量增价跌,2023,中国医保商会口径（ECHEMI/APIFDF转述）
仿制药,Teva FY2024,总收入,16544,百万美元,FY2024,Teva业绩公告2025-01-29
仿制药,Teva FY2024,美国区收入,8034,百万美元,FY2024,Teva业绩公告2025-01-29
仿制药,Teva FY2024,美国区纯仿制药收入,3599,百万美元,FY2024,Teva业绩公告2025-01-29
仿制药,Teva FY2024,GAAP毛利率,48.7%,公司blended口径,FY2024,Teva业绩公告2025-01-29
仿制药,Teva FY2024,Non-GAAP毛利率,53.3%,公司blended口径,FY2024,Teva业绩公告2025-01-29
仿制药,Teva FY2024,GAAP经营利润,-303,百万美元（经营亏损，含约25.5亿减值）,FY2024,Teva业绩公告2025-01-29
仿制药,Teva FY2024,GAAP经营利润率,-1.8%,公司口径,FY2024,Teva业绩公告2025-01-29
仿制药,Teva FY2024,Non-GAAP经营利润,4329,百万美元,FY2024,Teva业绩公告2025-01-29
仿制药,Teva FY2024,Non-GAAP经营利润率,26.2%,公司口径,FY2024,Teva业绩公告2025-01-29
仿制药,Teva FY2024,AUSTEDO（自有创新药）销售,1642,百万美元,FY2024,Teva业绩公告2025-01-29
仿制药,美国市场（FDA）,1家仿制厂时价格相对原研降幅,约39%,平均制造商价格AMP口径,FDA分析,FDA《Generic Competition and Drug Prices》
仿制药,美国市场（FDA）,2家仿制厂时价格,约为原研一半,AMP口径,FDA分析,FDA《Generic Competition and Drug Prices》
仿制药,美国市场（FDA）,6家以上竞争时价格降幅,超95%（约为原研价两成或更低）,AMP口径,FDA分析,FDA《Generic Competition and Drug Prices》
仿制药,美国市场（AAM）,仿制药占处方量份额,约90%,处方张数口径,2024,AAM 2024 Savings Report 2025-01
仿制药,美国市场（AAM）,仿制药占处方药支出份额,约12%,支出口径,2024,AAM 2024 Savings Report 2025-01
生物类似药,行业区间估计,单品开发成本,约1–3亿美元,从头建细胞株+工艺+可比性研究,行业估计,行业区间（非单一一手源，标估计）
生物类似药,美国市场（AAM）,平均市场份额,约40%,已上市分子加权,2024,AAM 2024 Savings Report 2025-01
生物类似药,美国市场（AAM）,单品份额区间,8%（胰岛素赖脯lispro）–82%（贝伐珠单抗）,按分子,2024,AAM 2024 Savings Report 2025-01
